epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2667,1.11839,3.75574,1.01555,0.65764,0.43475,0.6379,0.48714,0.92684,2.56644,0.90129,0.000183551,0.000183551,0.000183551
2,29.7112,1.03235,1.98064,0.98287,0.64881,0.79633,0.77948,0.64652,0.84518,1.16943,0.91341,0.000361581,0.000361581,0.000361581
3,41.8623,0.96946,1.4873,0.97955,0.85723,0.78075,0.82778,0.66469,0.78117,0.91808,0.88592,0.000532271,0.000532271,0.000532271
4,52.9768,0.91732,1.26768,0.97299,0.85516,0.90851,0.91707,0.75964,0.73878,0.76435,0.89908,0.000522974,0.000522974,0.000522974
5,64.0458,0.87404,1.12056,0.95876,0.90624,0.88556,0.94846,0.79945,0.72416,0.72933,0.88285,0.000511965,0.000511965,0.000511965
6,75.6437,0.85665,1.02733,0.95133,0.87825,0.929,0.96223,0.82385,0.70194,0.68477,0.8857,0.000500956,0.000500956,0.000500956
7,87.1794,0.84076,0.95906,0.94733,0.8685,0.96447,0.97492,0.83035,0.67765,0.62048,0.88097,0.000489947,0.000489947,0.000489947
8,98.9843,0.83975,0.90326,0.94195,0.95478,0.84469,0.91972,0.77603,0.69781,0.64829,0.88652,0.000478938,0.000478938,0.000478938
9,109.841,0.80818,0.85058,0.93055,0.95275,0.9268,0.96333,0.81359,0.69213,0.58591,0.86902,0.00046793,0.00046793,0.00046793
10,120.685,0.79971,0.81939,0.93387,0.95153,0.93797,0.97329,0.83157,0.64765,0.55378,0.86446,0.000456921,0.000456921,0.000456921
11,131.783,0.79497,0.7789,0.92416,0.93748,0.92801,0.97905,0.84197,0.65471,0.55203,0.86409,0.000445912,0.000445912,0.000445912
12,143.07,0.78272,0.77255,0.92162,0.82601,0.97716,0.97122,0.82851,0.6685,0.5395,0.86478,0.000434903,0.000434903,0.000434903
13,154.397,0.76454,0.73157,0.9247,0.96488,0.92952,0.978,0.82873,0.68189,0.52517,0.88118,0.000423894,0.000423894,0.000423894
14,165.702,0.76603,0.7258,0.92122,0.8992,0.9532,0.97293,0.81391,0.66898,0.53458,0.86528,0.000412886,0.000412886,0.000412886
15,177.202,0.74472,0.6902,0.9157,0.94287,0.9512,0.97658,0.84391,0.63352,0.49816,0.85749,0.000401877,0.000401877,0.000401877
16,188.986,0.74631,0.69358,0.92178,0.9401,0.95239,0.98567,0.82628,0.66867,0.51269,0.86614,0.000390868,0.000390868,0.000390868
17,199.728,0.73262,0.68892,0.91542,0.96683,0.94706,0.98159,0.83466,0.66162,0.4837,0.85794,0.000379859,0.000379859,0.000379859
18,210.543,0.72915,0.66215,0.91369,0.924,0.96964,0.98434,0.8468,0.63131,0.50638,0.85189,0.00036885,0.00036885,0.00036885
19,221.486,0.72531,0.644,0.90736,0.96522,0.96682,0.98597,0.85424,0.61545,0.47086,0.84751,0.000357842,0.000357842,0.000357842
20,232.42,0.71517,0.62623,0.9093,0.92904,0.96792,0.98398,0.85303,0.6143,0.47276,0.84624,0.000346833,0.000346833,0.000346833
21,243.24,0.71026,0.61155,0.90304,0.96101,0.95471,0.98095,0.83838,0.64556,0.48074,0.85769,0.000335824,0.000335824,0.000335824
22,254.46,0.68776,0.58849,0.89553,0.97269,0.95799,0.98357,0.84134,0.65294,0.45904,0.86175,0.000324815,0.000324815,0.000324815
23,266.568,0.68708,0.57839,0.89437,0.97015,0.96987,0.98516,0.85432,0.63729,0.44394,0.8541,0.000313806,0.000313806,0.000313806
24,278.779,0.6973,0.59398,0.90114,0.95233,0.96413,0.97666,0.82905,0.6859,0.46796,0.86889,0.000302798,0.000302798,0.000302798
25,289.655,0.69967,0.57076,0.89385,0.94267,0.97681,0.98408,0.84075,0.64429,0.45171,0.85285,0.000291789,0.000291789,0.000291789
26,300.507,0.67012,0.5557,0.89835,0.97235,0.95752,0.98467,0.8422,0.60725,0.41952,0.84952,0.00028078,0.00028078,0.00028078
27,311.239,0.66932,0.55649,0.8912,0.91762,0.9716,0.98217,0.83319,0.65039,0.44146,0.86344,0.000269771,0.000269771,0.000269771
28,323.209,0.67448,0.54325,0.89948,0.93965,0.96715,0.97448,0.8256,0.68497,0.45135,0.87243,0.000258762,0.000258762,0.000258762
29,334.983,0.68033,0.54269,0.89146,0.96648,0.95528,0.98349,0.83458,0.62637,0.42705,0.84884,0.000247754,0.000247754,0.000247754
30,346.308,0.6515,0.5379,0.88716,0.97182,0.97351,0.98326,0.8588,0.61645,0.4088,0.84055,0.000236745,0.000236745,0.000236745
31,357.275,0.66979,0.52582,0.89603,0.96195,0.94752,0.98502,0.84415,0.62717,0.4259,0.8484,0.000225736,0.000225736,0.000225736
32,368.278,0.63328,0.51383,0.88108,0.96766,0.96997,0.98535,0.8342,0.63642,0.42208,0.85477,0.000214727,0.000214727,0.000214727
33,379.63,0.63866,0.50409,0.88619,0.96518,0.96265,0.98447,0.85405,0.61872,0.40923,0.84581,0.000203718,0.000203718,0.000203718
34,391.021,0.63545,0.49827,0.88774,0.95242,0.96834,0.98558,0.86466,0.59551,0.43002,0.84272,0.00019271,0.00019271,0.00019271
35,402.322,0.64043,0.50127,0.88131,0.96761,0.96436,0.98377,0.8508,0.62107,0.42919,0.84845,0.000181701,0.000181701,0.000181701
36,413.527,0.62645,0.49627,0.88312,0.97848,0.95989,0.98461,0.84407,0.64514,0.41084,0.85755,0.000170692,0.000170692,0.000170692
37,424.905,0.63863,0.4913,0.87619,0.97054,0.967,0.98532,0.85231,0.6093,0.41069,0.84539,0.000159683,0.000159683,0.000159683
38,435.926,0.62105,0.48702,0.87704,0.9758,0.94903,0.98357,0.83866,0.63977,0.41976,0.85971,0.000148674,0.000148674,0.000148674
39,446.705,0.61064,0.47708,0.88073,0.97078,0.95501,0.98463,0.86878,0.60085,0.40782,0.847,0.000137666,0.000137666,0.000137666
40,457.494,0.60184,0.47411,0.8772,0.95554,0.96591,0.98587,0.85572,0.58896,0.39524,0.84115,0.000126657,0.000126657,0.000126657
41,489.957,0.5366,0.41473,0.83532,0.94442,0.9621,0.97588,0.84812,0.59213,0.4091,0.8438,0.000115648,0.000115648,0.000115648
42,501.559,0.53331,0.40434,0.83126,0.96814,0.96666,0.98322,0.8404,0.6154,0.40543,0.84954,0.000104639,0.000104639,0.000104639
43,513.182,0.51424,0.39553,0.83162,0.96619,0.97173,0.98354,0.8527,0.60691,0.40078,0.84537,9.36304e-05,9.36304e-05,9.36304e-05
44,524.512,0.51059,0.38924,0.82721,0.96181,0.96403,0.98344,0.84275,0.60248,0.40867,0.84476,8.26216e-05,8.26216e-05,8.26216e-05
45,535.735,0.50091,0.38491,0.83042,0.96671,0.96034,0.98532,0.85108,0.61026,0.39861,0.85019,7.16128e-05,7.16128e-05,7.16128e-05
46,546.489,0.50489,0.38496,0.83098,0.96093,0.9643,0.98376,0.8399,0.62164,0.40643,0.85124,6.0604e-05,6.0604e-05,6.0604e-05
47,558.203,0.48452,0.37221,0.82902,0.96861,0.96144,0.98455,0.84491,0.6071,0.38747,0.84588,4.95952e-05,4.95952e-05,4.95952e-05
48,570.207,0.48342,0.36466,0.82245,0.96662,0.97128,0.98403,0.84834,0.60611,0.38404,0.84596,3.85864e-05,3.85864e-05,3.85864e-05
49,581.715,0.47761,0.36433,0.82121,0.96945,0.97332,0.98402,0.85851,0.60525,0.37682,0.8461,2.75776e-05,2.75776e-05,2.75776e-05
50,592.5,0.48648,0.36343,0.81526,0.97168,0.96671,0.98405,0.8585,0.60529,0.37689,0.84583,1.65688e-05,1.65688e-05,1.65688e-05
